Index	Angle_in1	Angle_out1	Chord1	THmax/CH1	THmaxP1	SWA1	BOWA1	Angle_in2	Angle_out2	Chord2	THmax/CH2	THmaxP2	SWA2	BOWA2	Angle_in3	Angle_out3	Chord3	THmax/CH3	THmaxP3	SWA3	BOWA3
1	64.345341	-40.654707	0.136163	11.710613	0.577754	-0.003983	0.005759	53.897202	39.148021	0.178263	8.393229	0.521493	0.018733	-0.000246	75.824074	53.137966	0.193070	6.994229	0.571627	0.012108	-0.005014
2	68.331203	-39.647862	0.120311	13.048652	0.526760	-0.001570	0.006636	52.297226	37.946347	0.176074	8.946182	0.561198	0.017863	0.005951	77.826541	52.234858	0.177060	7.426991	0.572996	0.011850	-0.002597
3	64.176490	-41.513916	0.125572	12.484631	0.548176	0.000651	0.002062	52.167849	38.660569	0.175506	9.457882	0.551265	0.015660	0.005268	75.162394	53.220936	0.186451	7.287014	0.513594	0.017843	-0.005854
4	64.429575	-39.033173	0.138198	12.281117	0.531338	-0.005620	0.008103	54.003474	37.222987	0.177462	9.037069	0.544137	0.007599	0.007621	77.704314	54.311524	0.175892	6.979658	0.511270	0.007144	-0.000918
5	66.299006	-41.073585	0.123262	12.521499	0.554091	-0.004199	0.005287	51.606961	38.324483	0.189858	8.821470	0.552513	0.008136	0.006531	77.717698	52.321757	0.187883	7.594252	0.526147	0.009013	-0.005238
